year,month,hour,weekday,mean_distance,mean_pct_500m,mean_n_bikes,mean_covered_addresses_per_bike_500m,n_days
2025,1,0,False,626.8900475606599,60.69557992898571,228.0,849.7772446179159,8
2025,1,0,True,638.4273751747246,59.20028161786884,230.6086956521739,825.16963178052,23
2025,1,1,False,634.0043362218582,59.90373741139009,226.125,845.43805243908,8
2025,1,1,True,638.2736625572293,59.27330942749604,230.7391304347826,824.8379035363847,23
2025,1,2,False,629.8075408718875,60.293281441514296,225.875,851.1090800535454,8
2025,1,2,True,636.1839609970709,59.556438121807695,231.7391304347826,825.2164086139225,23
2025,1,3,False,623.34842519627,60.84966009173732,226.5,856.7026180407074,8
2025,1,3,True,635.6125251985173,59.58767100484179,232.2608695652174,823.2533623484362,23
2025,1,4,False,624.2766774229137,60.68598447036227,227.0,852.7918990274785,8
2025,1,4,True,635.4763488692895,59.61960436150593,232.47826086956522,823.6080320434739,23
2025,1,5,False,624.3904084664146,60.60444281580511,227.625,849.4710981415691,8
2025,1,5,True,635.6203066838797,59.580899759751276,232.30434782608697,823.5176680352323,23
2025,1,6,False,622.4169349756535,60.89278042431671,227.625,853.2207929211743,8
2025,1,6,True,634.3876997154408,59.60106241247513,233.08695652173913,820.1719409688941,23
2025,1,7,False,624.7565452647609,60.405228458787704,228.125,844.7148589135425,8
2025,1,7,True,634.3690758858384,59.62199421271434,233.1304347826087,820.1448797157527,23
2025,1,8,False,624.4989063730266,60.41103311894262,228.625,842.5986593245889,8
2025,1,8,True,635.422648299316,59.54179872238604,232.4090909090909,821.6807832399063,22
2025,1,9,False,625.4570295227901,60.25797963077623,228.0,842.7537780194124,8
2025,1,9,True,637.5232411143304,59.01704595711344,231.27272727272728,818.4388917165369,22
2025,1,10,False,626.7086289502446,60.12763144593689,226.375,846.5540480194461,8
2025,1,10,True,638.8535683421474,58.84017074675284,232.6818181818182,811.0435196460335,22
2025,1,11,False,626.816067976143,60.06381967171685,225.25,850.3683750227592,8
2025,1,11,True,641.1661225781553,58.41771210378977,231.27272727272728,810.2266651195313,22
2025,1,12,False,625.0488193942936,60.50825130466647,222.5,867.0967444524048,8
2025,1,12,True,642.2449502900952,58.298416824712326,232.3181818181818,805.2416090255466,22
2025,1,13,False,626.6067350408551,60.31247235876116,219.75,874.191548204404,8
2025,1,13,True,643.3270492626685,58.01755311999944,232.22727272727272,800.8652573069926,22
2025,1,14,False,629.4596167125146,59.79467298045211,216.75,879.000320972042,8
2025,1,14,True,645.1788683435843,57.72928012737082,232.1818181818182,797.2482467383666,22
2025,1,15,False,633.6877381139011,59.49658196338089,216.875,874.3738113710838,8
2025,1,15,True,646.2810579410223,57.607414572059064,233.27272727272728,791.753362901121,22
2025,1,16,False,634.460840436632,59.30107942986391,217.5,870.574716824876,8
2025,1,16,True,647.3048985949212,58.12551908092666,235.22727272727272,792.8107047304936,22
2025,1,17,False,632.8737847849421,59.45188213143962,219.875,862.5437285748128,8
2025,1,17,True,647.6086682232507,58.08732391453932,232.63636363636363,800.0091008644227,22
2025,1,18,False,632.2556836972818,59.583809815640834,222.625,853.253767869194,8
2025,1,18,True,645.0265063683527,58.26949762730478,234.13636363636363,795.9150260854396,22
2025,1,19,False,626.3648762017929,60.376047208076926,226.125,849.8960075468932,8
2025,1,19,True,641.5859390821356,58.940784856104735,235.1818181818182,800.88681829386,22
2025,1,20,False,626.1157855046465,60.387735503354854,225.375,853.2129377618556,8
2025,1,20,True,640.938067513668,59.08915728252591,235.8181818181818,800.3133987144581,22
2025,1,21,False,627.0282420685544,60.1758061764743,225.625,849.4737029131007,8
2025,1,21,True,643.014047553834,59.13290599602026,238.04761904761904,792.8369629265753,21
2025,1,22,False,630.7701727758877,59.97817131881878,225.875,845.987990588333,8
2025,1,22,True,644.4541146871036,59.0853856295042,237.57142857142858,793.3533552285191,21
2025,1,23,False,627.4968025150155,60.218492146729176,226.625,847.046018763378,8
2025,1,23,True,643.2077891882448,59.46333726252603,238.28571428571428,796.161602130803,21
2025,2,0,False,692.9186038500897,56.298095755569314,240.25,742.5073151492122,8
2025,2,0,True,669.7536287643086,59.312696647670556,253.95,739.8407888470645,20
2025,2,1,False,699.2350923277447,55.95617363120586,239.0,741.4708092216841,8
2025,2,1,True,670.6709355077917,59.22046967993025,253.45,740.1220727117257,20
2025,2,2,False,708.7384808632581,55.430634706023575,238.75,735.2034355097228,8
2025,2,2,True,669.2137975702203,59.26559597669923,253.6,740.1328183557271,20
2025,2,3,False,694.2781482283357,56.834019889055966,238.0,756.516747210777,8
2025,2,3,True,668.4888778259703,59.261157583492334,254.25,738.2481187028627,20
2025,2,4,False,685.4497450175528,57.104746079682585,240.5,752.1202866961703,8
2025,2,4,True,667.2250199403333,59.42117666384463,254.75,738.8900631682791,20
2025,2,5,False,679.9595852683497,57.5050307054676,242.25,751.5162014721159,8
2025,2,5,True,666.886169563192,59.511650387293244,254.65,740.2383349586333,20
2025,2,6,False,672.1964513249956,57.92573036050493,243.25,753.9339707802026,8
2025,2,6,True,666.961961556927,59.475732571804045,255.1,738.3912438474304,20
2025,2,7,False,673.3591482390473,57.83948969534616,243.5,751.7272183134935,8
2025,2,7,True,667.5389371489762,59.37001667951326,254.6,738.4801638399534,20
2025,2,8,False,672.9186128334596,57.90310403214597,243.25,753.2844933895328,8
2025,2,8,True,668.5640328873372,59.07610343825421,252.0,742.6582535791138,20
2025,2,9,False,672.8630316723722,57.92438778604733,242.375,756.2733403533979,8
2025,2,9,True,674.7424625454075,58.46414220548655,249.6,742.0150897593883,20
2025,2,10,False,672.3708555265396,57.95273979959312,241.625,759.3904182888843,8
2025,2,10,True,677.9807544130447,57.97287051896031,249.4,736.2469092009783,20
2025,2,11,False,676.8594050793907,57.48461567621527,235.875,771.39468566963,8
2025,2,11,True,680.2494189265253,57.638553684024316,247.65,737.375407484309,20
2025,2,12,False,682.507604017994,57.07963203982866,229.25,788.6746867129913,8
2025,2,12,True,681.5066813050097,57.70389757262539,246.75,740.9796593540655,20
2025,2,13,False,690.8103306506578,56.26137239540555,221.125,805.8572265196485,8
2025,2,13,True,682.5573360941064,57.613597594106565,246.65,739.9133688856193,20
2025,2,14,False,710.2011558796228,55.24208196969889,215.875,810.330299380803,8
2025,2,14,True,683.98882918317,57.274542261084925,246.6,735.795378732851,20
2025,2,15,False,707.7109300467706,55.33728629373634,217.875,804.4011926944252,8
2025,2,15,True,685.3979055771568,57.338322445317736,246.35,737.4496941765414,20
2025,2,16,False,704.4494508542683,54.9655116314333,214.125,812.6035445688112,8
2025,2,16,True,682.3481051458515,57.960550423937626,247.9,740.7871935095877,20
2025,2,17,False,710.5042579867561,54.55203818597657,218.25,790.9546320020535,8
2025,2,17,True,684.5916543223129,57.93557853902627,246.3,745.3115221430401,20
2025,2,18,False,683.9894918275874,56.76183676821795,226.75,793.0515898943455,8
2025,2,18,True,687.6250839759414,57.80801817056066,246.3,743.6617025567409,20
2025,2,19,False,674.9654858365205,57.37318199623447,231.875,784.0779333576556,8
2025,2,19,True,681.0461349496129,58.46058833192232,248.95,744.1729708728137,20
2025,2,20,False,674.0907799406873,57.45290722652548,234.875,774.6358293813923,8
2025,2,20,True,679.2073471060598,58.38177131376439,250.2,739.4107274803946,20
2025,2,21,False,673.3814922027109,57.59111342069018,237.5,767.5212984821665,8
2025,2,21,True,675.8614220364718,58.73043000290628,251.95,738.5148164609271,20
2025,2,22,False,673.9776115153364,57.88817776317619,238.125,769.7013778176229,8
2025,2,22,True,674.9384071584361,58.902927128217435,252.2,740.0939145032977,20
2025,2,23,False,675.2953096925071,57.62380905748114,239.625,761.2630817092672,8
2025,2,23,True,675.3905804709483,58.86974184662429,253.4,735.9807013889988,20
2025,3,0,False,699.9423200835101,56.443188566951825,231.8,778.9849482130924,10
2025,3,0,True,657.6436060321877,58.68441843435209,245.57142857142858,760.3435662125231,21
2025,3,1,False,700.1993067424391,56.655157381316414,232.4,779.766882319101,10
2025,3,1,True,658.4200082877885,58.49375029709631,245.23809523809524,758.9016942062589,21
2025,3,2,False,699.8174331966861,56.59932383387317,233.11111111111111,776.1715960860377,9
2025,3,2,True,659.0118372673006,58.599531625789226,245.8095238095238,758.3273519809403,21
2025,3,3,False,686.8852416213343,57.80992936478854,234.3,787.3134103743553,10
2025,3,3,True,658.793311641282,58.815035510154225,246.38095238095238,759.3371469269347,21
2025,3,4,False,683.789224451941,58.031627895222336,235.1,787.1256214856149,10
2025,3,4,True,658.8218777110835,58.80078993019515,246.8095238095238,757.6358323858552,21
2025,3,5,False,682.60221551937,58.177636816234724,236.0,786.1793716584859,10
2025,3,5,True,658.1586024281912,58.85357529458415,247.0,757.7263479579321,21
2025,3,6,False,676.4318220065833,58.34496897863253,236.3,787.5844164529619,10
2025,3,6,True,658.1635064474593,58.866933346330356,247.0952380952381,757.592347076311,21
2025,3,7,False,676.1360890437694,58.46005130213928,236.6,788.1663158857245,10
2025,3,7,True,659.093222283173,58.733413000272584,246.14285714285714,758.7068927137286,21
2025,3,8,False,675.4242691423699,58.589191169966774,235.9,793.2439899530323,10
2025,3,8,True,668.5199296875196,58.051129447343705,242.28571428571428,761.1999662412344,21
2025,3,9,False,676.3501017462085,58.4162675798279,234.0,797.46435048438,10
2025,3,9,True,675.8629688106823,56.87844894967805,238.28571428571428,757.9100176673023,21
2025,3,10,False,676.0791802561555,58.03377601435449,229.7,808.3582097032789,10
2025,3,10,True,683.6203300785446,55.77887670819095,236.28571428571428,749.55846491579,21
2025,3,11,False,685.7961217633899,56.296990106016,213.7,850.9047371017177,10
2025,3,11,True,691.9757360041012,54.831071791104144,233.23809523809524,746.3074106264606,21
2025,3,12,False,701.6736900262888,54.18839004789042,198.7,882.3918535994748,10
2025,3,12,True,694.2435146743017,54.469306265828834,233.52380952380952,740.0855699933502,21
2025,3,13,False,714.8089376106226,53.046254059313355,188.9,915.9176561932816,10
2025,3,13,True,697.8289750307956,54.15656539217615,229.1904761904762,750.3623445514755,21
2025,3,14,False,708.0738054547708,53.37532695636791,183.8,941.991066383084,10
2025,3,14,True,700.4686217047899,53.982639948156326,228.28571428571428,752.168636519688,21
2025,3,15,False,706.3570573527561,52.620168311452005,179.8,947.3561484155628,10
2025,3,15,True,703.0873132500813,54.036478312119904,230.47619047619048,744.753105254924,21
