distance_threshold_m,pct_addresses_within_threshold
50,7.619820821592388
100,25.56861977027761
150,44.17670175261249
200,57.45302568897762
250,67.02131692338796
300,73.90319564310897
350,79.18567330898799
400,82.94804078899152
450,85.58801602244152
500,87.88934659270397
550,89.48748404705644
600,90.81047271256902
650,91.80208241195871
700,92.52296592072177
750,93.00755632494725
800,93.39611316797028
850,93.79098800844085
900,94.17164735465447
950,94.5791581900201
1000,94.94023174414637
1050,95.35564007632141
1100,95.7944249990523
1150,96.17318894603166
1200,96.55132109326627
1250,96.95725242927001
