percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,1320.9347624677175,1256.661988420488,903.3819553831532,32.87977639803868,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,1154.2830518564067,969.6493616222424,925.0672402429395,42.29225324637901,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,1070.3332017257699,779.6138830344862,802.7224175404464,42.18401028523734,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,615.6153581036842,460.1925670390846,500.0137399179558,63.482205676392084,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,988.2519977450096,960.3386296428846,634.4851916039872,40.429862561935806,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,2055.3336302899256,2028.1000298142249,847.0886772806001,10.141028284236882,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,810.7948434519385,600.920500419197,474.5727485631473,49.12118625147878,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,897.9968627656666,398.0631375053093,942.8174844141377,61.10744961924441,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,712.1839685409005,386.3962374019486,660.9837056402248,61.430627451518575,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,765.1221421478758,590.2997447324651,434.08889495097,50.135372522990515,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,762.7915225207707,359.01350122130043,765.5691818095337,64.41297099841952,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,912.2672420816117,501.7771630686092,852.3936121549148,54.35072058676886,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
