hour,mean_distance,std_distance,mean_pct_500m,std_pct_500m,mean_n_bikes,mean_covered_addresses_per_bike_500m,n_days
0,865.1657207390965,399.94446626724203,53.523456889865464,13.33081314205809,338.41857423152385,593.2145681235668,1529
1,864.7588328954988,399.78902909775724,53.550087520803906,13.312551157651145,337.9738219895288,594.0523566141885,1528
2,862.6698176248434,400.10845836303247,53.71729847636102,13.367088733574764,338.86679790026244,594.7724593901632,1524
3,862.9895957177464,400.5014230947462,53.77104469300089,13.391913635694124,338.76096922069416,595.0283988488846,1527
4,861.6572082557514,400.91299653556126,53.86684356343287,13.432023406997065,339.9280575539568,594.1977250474192,1529
5,861.4746770110522,400.93161672411145,53.87657385799758,13.437873521588376,340.21059516023547,593.6873305311767,1529
6,861.4715069861552,400.9280085483346,53.8614854553294,13.422014576301972,340.42184434270763,592.9150965854764,1529
7,861.5724136938173,400.78215231052303,53.84356283784809,13.42025423707461,339.84565075212555,593.3497163333323,1529
8,862.9327054145249,400.3952527739188,53.72309700903187,13.380972091194495,337.73804846103474,595.5265496598334,1527
9,863.9942521361592,399.76689929207424,53.57280604145866,13.35018015658063,336.31827111984285,597.1860006984622,1527
10,865.8916761064186,399.5348708872399,53.40292407672391,13.297926741933793,335.5785340314136,596.9999557144747,1528
11,869.4367139784213,401.44041638890883,53.09979266610999,13.279672282907596,331.5593442622951,605.688625497134,1525
12,871.5429394936125,398.04390647167247,52.81681602340869,13.20600607566951,327.4259501965924,611.1464543018373,1526
13,873.5596618632362,397.2592876020926,52.58648734031469,13.229794162225176,324.1317169069463,619.7587649648066,1526
14,877.4536709458253,397.4917866340798,52.2785590749405,13.266923327245237,321.71625163826997,623.9243103065897,1526
15,879.4657013907961,397.6740967055405,52.09989906605755,13.343722399031094,320.77260812581915,626.1458605895834,1526
16,881.026675973108,398.53564977468704,52.02911058312268,13.414089929105263,320.4554390563565,626.7147703411082,1526
17,880.8789515401847,399.252793473507,52.09884475147733,13.38999345138815,321.09692206941713,625.2432913443034,1527
18,877.9198927230769,398.51250511815,52.30526080325224,13.341259994706352,322.86509495743286,623.3641549729412,1527
19,875.6594661051548,398.977219665286,52.51446264918656,13.332314746917465,325.39947609692206,618.3046515404197,1527
20,872.9595472256946,398.97035399039726,52.74545020812692,13.31882456991699,328.11656843483956,612.7388054482865,1527
21,871.5058339067322,398.9423184085129,52.930844284680724,13.303506593079003,330.9036697247706,606.1359511231315,1526
22,869.0951013037596,399.13785977319003,53.12992351480317,13.294354226429558,333.58125819134995,600.6802001880152,1526
23,866.9825810615515,399.81122869536824,53.369539364328645,13.300565685923683,336.35452162516384,595.9924434140967,1526
