date,hour,year,month,n_bikes,mean_distance,median_distance,pct_within_100m,pct_within_250m,pct_within_500m,covered_addresses_500m,covered_addresses_per_bike_500m,band_0-100m,band_100-250m,band_250-500m,band_500m+,weekday
2022-01-03,0,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,1,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,2,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,3,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,4,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,5,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,6,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,7,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,8,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,9,2022,1,275,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,421.60727272727274,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
2022-01-03,10,2022,1,279,1522.7768994763273,1004.0498434867972,6.844602534780576,24.751070900567356,36.62606300307055,115942.0,415.56272401433694,6.844602534780576,17.90646836578678,11.87499210250319,63.37393699692946,True
