buurt_idx,n_houses,total_addresses,mean_distance,pct_within_100m,pct_within_250m,pct_within_500m,date,hour
0,0,0,,,,,2026-02-22,0
1,1,1,1005.4505539789151,0.0,0.0,0.0,2026-02-22,0
2,0,0,,,,,2026-02-22,0
3,2265,4088,164.2029821759942,26.272015655577302,86.10567514677103,97.96966731898239,2026-02-22,0
4,316,662,190.87335510472212,11.48036253776435,75.83081570996978,100.0,2026-02-22,0
5,478,676,564.5303878550304,2.9585798816568047,24.70414201183432,33.13609467455622,2026-02-22,0
6,551,774,215.27729345236312,7.10594315245478,68.21705426356588,100.0,2026-02-22,0
7,604,1293,405.9896031744198,3.3255993812838365,25.135344160866204,64.96519721577727,2026-02-22,0
8,820,1803,471.79417123265165,4.492512479201332,21.07598447032723,53.02273987798114,2026-02-22,0
9,1293,1758,335.8780748588461,7.053469852104664,24.459613196814562,89.76109215017065,2026-02-22,0
10,698,1136,307.9331674029459,14.43661971830986,36.443661971830984,81.07394366197182,2026-02-22,0
11,856,1084,274.8414065105882,13.376383763837637,39.11439114391143,98.61623616236163,2026-02-22,0
12,2030,3678,217.18002442606002,15.551930396954866,65.08972267536704,99.40184883088635,2026-02-22,0
13,302,455,218.4508741401557,15.604395604395604,62.637362637362635,100.0,2026-02-22,0
14,1033,1764,212.62801818337695,8.390022675736962,66.9501133786848,100.0,2026-02-22,0
15,1810,2948,165.36500881574145,19.369063772048847,87.65264586160109,100.0,2026-02-22,0
16,1846,3146,128.6110614526242,31.11888111888112,96.78957406230133,100.0,2026-02-22,0
17,1167,2213,178.81701460708388,16.04157252598283,77.49661093538184,100.0,2026-02-22,0
18,593,940,174.31082187529864,8.297872340425531,89.8936170212766,100.0,2026-02-22,0
19,1646,2719,230.4146059973195,10.150790731886723,55.82934902537697,100.0,2026-02-22,0
20,3441,5180,131.77692698934092,31.62162162162162,97.72200772200772,100.0,2026-02-22,0
21,1224,2289,144.89200668133608,26.212319790301443,94.5391000436872,100.0,2026-02-22,0
22,254,407,179.240341923297,9.336609336609335,85.5036855036855,100.0,2026-02-22,0
23,785,1634,174.441886813137,14.56548347613219,86.59730722154222,100.0,2026-02-22,0
24,1765,3033,188.3835200625823,19.22189251566106,72.43653148697659,100.0,2026-02-22,0
25,653,1107,309.038377762573,4.9683830171635055,35.230352303523034,92.14092140921409,2026-02-22,0
26,1323,3207,219.40367974236102,7.202993451824134,63.236669784845645,100.0,2026-02-22,0
27,1521,3433,210.20811342941204,14.71016603553743,63.210020390329156,100.0,2026-02-22,0
28,1773,2076,573.3612778849492,1.2042389210019269,14.691714836223507,44.21965317919075,2026-02-22,0
29,100,210,268.50584855357255,0.0,48.095238095238095,99.04761904761905,2026-02-22,0
30,1031,2968,375.96319632093855,1.650943396226415,20.855795148247978,81.06469002695418,2026-02-22,0
31,550,550,390.222679021188,2.3636363636363638,19.090909090909093,75.27272727272727,2026-02-22,0
32,655,1002,346.1890431034968,12.17564870259481,57.28542914171657,69.76047904191617,2026-02-22,0
33,2374,3319,506.1803075202233,5.845134076529075,22.92859294968364,63.69388369990961,2026-02-22,0
