date,hour,year,month,n_bikes,mean_distance,median_distance,pct_within_100m,pct_within_250m,pct_within_500m,covered_addresses_500m,covered_addresses_per_bike_500m,band_0-100m,band_100-250m,band_250-500m,band_500m+,weekday
2023-02-01,0,2023,2,405,1152.2212382073762,663.8732279429802,9.428031691075196,29.581811748948056,43.008188124692,136145.0,336.1604938271605,9.428031691075196,20.153780057872854,13.426376375743946,56.99181187530801,True
2023-02-01,1,2023,2,405,1152.2212382073762,663.8732279429802,9.428031691075196,29.581811748948056,43.008188124692,136145.0,336.1604938271605,9.428031691075196,20.153780057872854,13.426376375743946,56.99181187530801,True
2023-02-01,2,2023,2,405,1152.3420371704103,663.8732279429802,9.372433313536941,29.575177851628148,43.008188124692,136145.0,336.1604938271605,9.372433313536941,20.202744538091206,13.43301027306385,56.99181187530801,True
2023-02-01,3,2023,2,405,1152.3420371704103,663.8732279429802,9.372433313536941,29.575177851628148,43.008188124692,136145.0,336.1604938271605,9.372433313536941,20.202744538091206,13.43301027306385,56.99181187530801,True
2023-02-01,4,2023,2,405,1152.3420371704103,663.8732279429802,9.372433313536941,29.575177851628148,43.008188124692,136145.0,336.1604938271605,9.372433313536941,20.202744538091206,13.43301027306385,56.99181187530801,True
2023-02-01,5,2023,2,405,1152.3420371704103,663.8732279429802,9.372433313536941,29.575177851628148,43.008188124692,136145.0,336.1604938271605,9.372433313536941,20.202744538091206,13.43301027306385,56.99181187530801,True
2023-02-01,6,2023,2,405,1152.3420371704103,663.8732279429802,9.372433313536941,29.575177851628148,43.008188124692,136145.0,336.1604938271605,9.372433313536941,20.202744538091206,13.43301027306385,56.99181187530801,True
2023-02-01,7,2023,2,405,1152.3239060370988,663.8732279429802,9.394546304603294,29.575177851628148,43.008188124692,136145.0,336.1604938271605,9.394546304603294,20.180631547024856,13.43301027306385,56.99181187530801,True
2023-02-01,8,2023,2,403,1152.3706307745972,663.8732279429802,9.350004422598213,29.575177851628148,43.008188124692,136145.0,337.8287841191067,9.350004422598213,20.225173429029937,13.43301027306385,56.99181187530801,True
2023-02-01,9,2023,2,402,1152.4806091276173,663.8732279429802,9.267870455780336,29.575177851628148,43.008188124692,136145.0,338.66915422885575,9.267870455780336,20.30730739584781,13.43301027306385,56.99181187530801,True
2023-02-01,10,2023,2,402,1152.4646641764477,663.8732279429802,9.273872553355488,29.576125551245276,43.008188124692,136145.0,338.66915422885575,9.273872553355488,20.302252997889788,13.432062573446721,56.99181187530801,True
2023-02-01,11,2023,2,402,1152.4646641764477,663.8732279429802,9.273872553355488,29.576125551245276,43.008188124692,136145.0,338.66915422885575,9.273872553355488,20.302252997889788,13.432062573446721,56.99181187530801,True
2023-02-01,12,2023,2,402,1152.5346661368021,663.8732279429802,9.216378776582975,29.576125551245276,43.008188124692,136145.0,338.66915422885575,9.216378776582975,20.3597467746623,13.432062573446721,56.99181187530801,True
