hour,mean_distance,std_distance,mean_pct_500m,std_pct_500m,mean_n_bikes,mean_covered_addresses_per_bike_500m,n_days
0,932.7173832855457,279.00660881637015,47.73252544645485,6.946088557470152,298.2218844984802,527.2750617068317,329
1,931.351803001239,277.2152750694992,47.761654487270306,6.908498658830625,298.2613981762918,527.7451501122283,329
2,928.7730955768727,276.2591807603781,47.87170454794112,6.899000683051809,298.1646341463415,528.8806764191754,328
3,929.1157687772271,276.2750053102931,47.894730909191324,6.910452672810409,298.46200607902733,528.4233113377546,329
4,928.8383088326934,276.5115774165717,47.90892431926266,6.928954049681683,298.7537993920973,527.9702522192669,329
5,929.0108048009993,276.93321819968884,47.903967859866896,6.91569445664157,298.93313069908817,527.5928893197254,329
6,929.0078293567723,276.88653696430515,47.89798208538545,6.927288876089424,299.06382978723406,527.2506448227915,329
7,929.0718489045473,277.0580115483127,47.906375996280026,6.9384546486911285,298.7173252279635,527.7266051370231,329
8,930.3422615204734,278.0915375714275,47.84382782154949,6.942462944653317,297.74468085106383,529.0743900356983,329
9,932.687919633501,277.85423407646954,47.70898914660497,6.909345984308422,296.6036585365854,529.8350987200462,328
10,933.830850995972,278.82010584178465,47.66013446085446,6.955483547738029,295.9878048780488,530.0561906258079,328
11,933.6702178583768,277.6867992695434,47.57734359159723,6.9434751795288046,293.46483180428135,534.0324740567214,327
12,935.4462713448106,277.5905299667879,47.39158297117853,6.940017725890646,289.515243902439,540.823903247208,328
13,936.9835262126536,277.4876903483336,47.242906815085156,6.967371040425336,286.4268292682927,546.8957099862102,328
14,940.1917024971889,278.71036979264306,47.059280406591746,7.053501367637045,284.33130699088144,549.9524229725591,329
15,941.7875919384514,279.2234498808968,46.94483631604905,7.075090697271116,282.5015197568389,553.175851215275,329
16,944.6279645824962,281.5828079175597,46.84252220449641,7.198666264656366,282.7598784194529,552.2458343649806,329
17,945.0949183789485,283.55265456163744,46.90409771487826,7.220078976024912,283.2674772036474,552.4755608659299,329
18,942.4907419432309,280.3783565546789,46.98041201869774,7.11297720751129,284.4437689969605,551.2316091780657,329
19,940.830476236767,280.41801836178666,47.09311625948741,7.022789886588839,286.3677811550152,548.0955372082003,329
20,937.856671292803,279.39866434044865,47.23640997788855,6.984318211945561,288.7142857142857,544.015684463763,329
21,936.223021879483,279.35233582741364,47.396629784284364,6.955534881499277,291.370820668693,538.8758108778907,329
22,933.9532779832625,279.6873345002861,47.56856189050768,6.985005989566042,293.7082066869301,534.8527824171247,329
23,932.7068305560432,279.4512168693087,47.67041703507249,6.931943637127183,296.2887537993921,530.10461233372,329
