buurt_idx,n_houses,total_addresses,mean_distance,pct_within_100m,pct_within_250m,pct_within_500m,date,hour
0,0,0,,,,,2025-09-20,0
1,1,1,2190.99653253655,0.0,0.0,0.0,2025-09-20,0
2,0,0,,,,,2025-09-20,0
3,2265,4088,167.58671068166672,22.822896281800393,86.17906066536204,97.96966731898239,2025-09-20,0
4,316,662,209.375480277431,6.948640483383686,70.99697885196375,100.0,2025-09-20,0
5,478,676,564.7392469036967,2.9585798816568047,24.70414201183432,33.13609467455622,2025-09-20,0
6,551,774,203.48370492107395,9.560723514211885,71.9638242894057,100.0,2025-09-20,0
7,604,1293,405.9896031744198,3.3255993812838365,25.135344160866204,64.96519721577727,2025-09-20,0
8,820,1803,1307.9611311105275,0.0,0.0,0.0,2025-09-20,0
9,1293,1758,607.0472196144673,1.0807736063708762,9.442548350398178,31.968145620022753,2025-09-20,0
10,698,1136,290.0712941125237,14.43661971830986,35.2112676056338,90.3169014084507,2025-09-20,0
11,856,1084,149.36165476326974,28.321033210332104,89.11439114391145,100.0,2025-09-20,0
12,2030,3678,201.13632016980753,18.76019575856444,68.84176182707994,99.42903752039152,2025-09-20,0
13,302,455,218.73276200874938,15.604395604395604,61.75824175824176,100.0,2025-09-20,0
14,1033,1764,163.6169799533986,23.299319727891156,85.99773242630386,100.0,2025-09-20,0
15,1810,2948,174.07916718356606,22.62550881953867,82.59837177747626,100.0,2025-09-20,0
16,1846,3146,120.93023624204669,35.98219961856326,96.21741894469167,100.0,2025-09-20,0
17,1167,2213,175.2297966933895,21.057388160867603,78.49073655671035,100.0,2025-09-20,0
18,593,940,187.7640515667063,10.74468085106383,79.68085106382978,100.0,2025-09-20,0
19,1646,2719,231.22015424733564,10.150790731886723,55.82934902537697,100.0,2025-09-20,0
20,3441,5180,160.25118160137473,17.104247104247104,94.82625482625483,100.0,2025-09-20,0
21,1224,2289,157.12370819950468,21.45041502839668,89.64613368283094,100.0,2025-09-20,0
22,254,407,273.99783190311365,0.4914004914004914,49.631449631449634,94.1031941031941,2025-09-20,0
23,785,1634,362.512687378291,3.4271725826193387,11.505507955936352,99.93880048959608,2025-09-20,0
24,1765,3033,243.97669022455773,10.913287174414771,52.489284536762284,100.0,2025-09-20,0
25,653,1107,546.9526585127721,0.0,0.0,18.428184281842817,2025-09-20,0
26,1323,3207,248.5184159647204,6.828811973807297,45.400685999376364,100.0,2025-09-20,0
27,1521,3433,188.63873648042932,19.691232158461986,74.16254005243228,100.0,2025-09-20,0
28,1773,2076,329.757490885325,2.5529865125240847,28.034682080924856,90.22157996146436,2025-09-20,0
29,100,210,272.08609909860843,0.0,48.095238095238095,98.09523809523809,2025-09-20,0
30,1031,2968,288.18671565177345,4.615902964959568,47.16981132075472,92.95822102425876,2025-09-20,0
31,550,550,684.9779550108682,0.0,0.0,34.54545454545455,2025-09-20,0
32,655,1002,243.37908305686307,12.17564870259481,57.28542914171657,100.0,2025-09-20,0
33,2374,3319,783.3174374350575,4.097619764989455,16.239831274480267,47.454052425429346,2025-09-20,0
34,157,201,624.4813692422725,0.0,0.0,0.9950248756218906,2025-09-20,0
35,3724,5534,345.0733835694334,6.071557643657391,31.8756776292013,80.75533068305023,2025-09-20,0
36,1596,2997,298.6325293437945,7.340674007340674,44.37771104437771,89.4894894894895,2025-09-20,0
37,346,1194,385.95154907462796,0.0,16.834170854271356,79.5644891122278,2025-09-20,0
38,2317,3640,489.41979502062696,0.0,1.9505494505494505,52.032967032967036,2025-09-20,0
39,844,1995,488.8784492017708,10.025062656641603,15.037593984962406,40.6015037593985,2025-09-20,0
40,401,1166,233.56035496782923,6.432246998284734,52.83018867924528,100.0,2025-09-20,0
41,687,2180,488.59457988806247,0.963302752293578,10.733944954128441,52.01834862385321,2025-09-20,0
42,2008,3202,334.5717884256968,4.62211118051218,24.45346658338538,96.12742036227357,2025-09-20,0
43,643,1314,330.6135514774951,1.750380517503805,22.526636225266362,97.86910197869102,2025-09-20,0
44,1650,3794,262.38092616878043,7.564575645756458,51.107011070110694,93.54243542435424,2025-09-20,0
45,3476,6025,149.14041789194835,28.348547717842326,88.8298755186722,100.0,2025-09-20,0
46,2039,3491,241.10225890271224,9.710684617588083,54.568891435118886,100.0,2025-09-20,0
47,2382,4047,130.0269672147829,34.173461823573014,94.41561650605387,100.0,2025-09-20,0
48,3976,7160,201.01772041170835,14.958100558659218,70.94972067039106,100.0,2025-09-20,0
49,676,1187,89.76777355098542,56.86604886267902,100.0,100.0,2025-09-20,0
50,135,420,209.76226382206025,52.38095238095239,83.33333333333334,83.33333333333334,2025-09-20,0
51,853,2982,667.4492486018333,0.0,1.4419852448021462,29.912810194500334,2025-09-20,0
52,538,1590,245.27218384544966,10.817610062893083,50.44025157232704,100.0,2025-09-20,0
53,285,377,1144.7089695994887,0.0,0.0,0.5305039787798408,2025-09-20,0
54,1292,3880,344.94574699257566,3.556701030927835,30.103092783505154,82.91237113402062,2025-09-20,0
55,1020,3067,188.92379027012834,11.183567003586568,83.4039778284969,100.0,2025-09-20,0
56,1406,2495,184.85508637512797,22.364729458917836,71.86372745490982,100.0,2025-09-20,0
57,2196,5249,173.08775467806285,17.546199276052583,85.76871785101923,100.0,2025-09-20,0
58,2027,4649,124.64551965901605,41.92299419229942,93.91266939126693,100.0,2025-09-20,0
59,314,576,95.94787004577307,49.30555555555556,100.0,100.0,2025-09-20,0
60,1030,1918,146.99216113209982,22.67987486965589,95.1511991657977,100.0,2025-09-20,0
61,2298,4746,172.9358184274737,26.359039190897597,74.25200168563,100.0,2025-09-20,0
62,1313,1907,113.15686016488281,48.24331410592554,97.27320398531725,100.0,2025-09-20,0
63,1146,2455,121.82674879346995,38.20773930753564,100.0,100.0,2025-09-20,0
64,2284,4458,96.07744556002523,58.838043965904,98.02602063705697,100.0,2025-09-20,0
65,3004,6050,249.44461000192825,10.297520661157025,49.27272727272727,100.0,2025-09-20,0
66,2169,4253,338.69789738505915,3.127204326357865,27.039736656477782,91.11215612508818,2025-09-20,0
67,1225,2632,307.96899193896655,4.407294832826747,28.951367781155014,96.99848024316108,2025-09-20,0
68,921,1801,224.81984846006372,8.550805108273181,60.02220988339811,100.0,2025-09-20,0
69,1057,1853,192.16857418123868,18.834322719913654,70.75013491635185,100.0,2025-09-20,0
70,1369,2573,206.93166880874756,11.232024873688301,68.51923824329576,100.0,2025-09-20,0
71,1514,3024,271.55851902443356,7.473544973544974,38.392857142857146,100.0,2025-09-20,0
72,846,2081,178.90096800981968,11.917347429120614,87.55406054781355,100.0,2025-09-20,0
73,1409,3470,187.71279792988156,14.72622478386167,76.48414985590777,100.0,2025-09-20,0
74,3542,8463,274.06150718335226,5.730828311473473,42.19543896963252,96.14793808342196,2025-09-20,0
75,1467,3612,390.2349305112315,1.8549280177187155,15.337763012181615,79.9280177187154,2025-09-20,0
76,1232,3420,452.447018783019,3.625730994152047,14.269005847953217,51.11111111111111,2025-09-20,0
77,1757,4759,431.4235866181432,5.190166001260769,20.403446102122295,62.02983820130279,2025-09-20,0
78,474,943,790.5221229308293,13.57370095440085,13.891834570519618,27.67762460233298,2025-09-20,0
79,959,3124,289.52811417249796,8.25864276568502,36.93982074263765,99.8719590268886,2025-09-20,0
80,1903,3627,597.2488823325195,0.0,1.8748276812792941,24.95175075820237,2025-09-20,0
81,1180,3537,469.84299448025416,1.4984450098953916,6.361323155216285,56.54509471303364,2025-09-20,0
82,11,101,146.72399224190454,0.0,99.00990099009901,99.00990099009901,2025-09-20,0
83,900,1763,584.92468281543,0.0,2.7226318774815654,26.602382302892796,2025-09-20,0
84,1296,3323,311.93178539273873,8.245561239843514,37.13511886849233,86.27746012639182,2025-09-20,0
85,1112,3224,331.21776178913774,4.311414392059553,40.787841191066995,79.9937965260546,2025-09-20,0
86,1164,2420,526.5107614225666,0.0,0.0,39.710743801652896,2025-09-20,0
87,1011,1723,251.15778684490633,0.9866511897852582,47.93964016250725,100.0,2025-09-20,0
88,831,3238,154.7730263184677,34.990735021618285,87.92464484249537,100.0,2025-09-20,0
89,1762,3735,310.7930217987954,0.321285140562249,20.803212851405622,100.0,2025-09-20,0
90,1350,1613,266.9736086176918,4.587724736515809,53.56478611283323,94.04835709857409,2025-09-20,0
91,1961,3517,157.29334777528766,26.130224623258457,85.72647142450953,100.0,2025-09-20,0
