year,month,hour,mean_distance,std_distance,mean_pct_500m,std_pct_500m,mean_n_bikes,mean_covered_addresses_per_bike_500m,n_days
2023,2,0,1161.0904043344956,22.333277084760187,42.5036960285068,0.6489957156678157,362.10714285714283,372.84868968516855,28
2023,2,1,1161.473709635477,22.482972054348647,42.42656004895546,0.7510582784655478,362.14285714285717,372.1521671304481,28
2023,2,2,1157.4398884567565,9.771402116949936,42.48672769250487,0.6977068484984776,362.0,372.79399520634564,28
2023,2,3,1157.3434184867842,9.844705122418937,42.491093880026646,0.6838523760908725,361.85714285714283,373.05023788861365,28
2023,2,4,1157.5104758101872,9.851912551652275,42.46116236711897,0.682808750178762,361.82142857142856,372.8216560606681,28
2023,2,5,1157.4008517399914,9.831407654266782,42.48389587579178,0.6947715454190578,362.07142857142856,372.77085893453324,28
2023,2,6,1157.9892343439462,9.666396184942425,42.39436082624966,0.7058043536604282,362.07142857142856,371.96070733953826,28
2023,2,7,1157.9955791964871,9.696431163388302,42.401276777027036,0.7029145859183293,361.75,372.3520096922079,28
2023,2,8,1158.179240406794,10.131073225302059,42.37355656322601,0.780632087819951,361.4642857142857,372.3288145437428,28
2023,2,9,1158.8701824047403,10.832943696638178,42.28562357732236,0.9048967964779598,360.4642857142857,372.56059263931735,28
2023,2,10,1162.796393264412,22.110846571425316,42.27726351284269,0.8549847509694034,360.57142857142856,372.41633904177127,28
2023,2,11,1163.5900982285868,22.36841559936452,42.15281024526466,0.9090951089528055,358.60714285714283,373.3521623166677,28
2023,2,12,1164.2377398094097,22.57145439819123,42.063997252573685,0.8907432399499678,358.5,372.6245426344386,28
2023,2,13,1164.2439722576285,22.72238999031366,42.09372568699196,0.9386203733467471,357.64285714285717,373.8337316480245,28
2023,2,14,1169.6139046018977,29.44798900782022,41.882715854382795,1.110730397825064,355.75,374.03460965826935,28
2023,2,15,1168.833257996719,29.44386624249812,41.92879210719656,0.9932379413556658,353.89285714285717,376.5423279623473,28
2023,2,16,1167.9879753603536,29.39603091115333,42.04282067898616,0.9549603618226983,354.75,376.65459092342957,28
2023,2,17,1167.9761996760215,29.807729234955637,42.06948037178707,0.9505103410958855,354.17857142857144,377.6043963157346,28
2023,2,18,1168.4010492485465,28.910892062749348,42.0475704592101,0.8891174048001667,354.17857142857144,377.37124433843167,28
2023,2,19,1167.4296154021201,29.084341282149047,42.19351620024803,0.8354560088873594,356.42857142857144,376.08607830710173,28
2023,2,20,1162.718912871002,22.647358331357474,42.27193834356548,0.8862381909275838,358.07142857142856,374.964414324703,28
2023,2,21,1162.308320232879,22.5975133964233,42.318398189081414,0.8837673156604787,358.07142857142856,375.36416069268756,28
2023,2,22,1162.0928613764988,22.503957511432123,42.366403687544334,0.8179531941680085,358.64285714285717,375.15293996769896,28
2023,2,23,1161.6760515297408,22.221462328695395,42.42762056995558,0.7138049588743999,358.82142857142856,375.48024244807465,28
2023,3,0,1170.1305341047453,43.906566000110494,41.97940414354653,1.1684202217502884,350.1290322580645,380.0118243650917,31
2023,3,1,1169.4581009147407,44.303955899244386,42.00007010939103,1.1920390468026367,350.19354838709677,380.10925612611754,31
2023,3,2,1170.3254127894495,44.754657971919976,42.00955491813981,1.215239286254815,350.7,379.7100398439687,30
2023,3,3,1169.2649991069468,44.36931967364636,42.04712900005666,1.1902194897311826,350.48387096774195,380.23172903378327,31
2023,3,4,1169.0666278061613,44.32962290545646,42.04050529305522,1.1824897767155702,350.5806451612903,380.085480828245,31
2023,3,5,1169.1423755521266,44.35044945657732,42.033514734589076,1.1774550190833488,350.83870967741933,379.7324074044112,31
2023,3,6,1169.4157471133378,45.05889896660286,42.010413282631745,1.3371055375383076,350.7741935483871,379.5660690024003,31
2023,3,7,1169.4631865471927,45.07355564072807,42.006510390660125,1.3407154457606936,350.4193548387097,379.93192173674703,31
2023,3,8,1172.290919324815,45.45819226792557,41.87278284146025,1.365138363698903,350.2903225806452,378.8453868106184,31
2023,3,9,1170.6958346047127,44.98125371907716,41.84156989600576,1.3597306282663502,349.51612903225805,379.37545202021215,31
2023,3,10,1171.972127242201,44.45717677195785,41.83617921753844,1.3579339879762364,348.1290322580645,380.7725859985319,31
2023,3,11,1171.849319447591,44.45923098040187,41.85805783128012,1.3328162345152113,347.741935483871,381.413331200419,31
2023,3,12,1172.6472300659718,43.90887563014795,41.79742543642077,1.322825548557718,345.80645161290323,383.0018291280255,31
2023,3,13,1172.8245501947142,43.93569319889085,41.78972155566217,1.3313351841252588,344.9032258064516,383.9693802422726,31
2023,3,14,1171.3418424218553,43.813245785163005,41.775027116437435,1.3084202189722403,344.03225806451616,384.886100049901,31
2023,3,15,1175.0513542613091,47.30094427268054,41.71463928922121,1.3248681727923783,342.51612903225805,386.08476464623385,31
2023,3,16,1184.7966784026844,72.50732170985759,41.71366101864869,1.382071918883834,343.5806451612903,384.9797407862451,31
2023,3,17,1184.0720019886044,72.40710475578666,41.81203835309779,1.443051623537979,344.4516129032258,384.9076537742816,31
2023,3,18,1181.159617750043,71.90814472634162,41.850975559947805,1.231085261079301,346.4516129032258,382.9373344102538,31
2023,3,19,1181.4316626482735,71.75326517866095,41.81790797653292,1.2567950586097845,347.3225806451613,381.6087517727797,31
2023,3,20,1177.286154143812,59.89606185354824,41.84232397957208,1.235961480120564,347.83870967741933,381.2662770753929,31
2023,3,21,1170.344698195532,40.34011475773543,41.92495727199468,1.1645984691433062,348.5483870967742,381.2182459092232,31
2023,3,22,1168.6083298749031,40.861165801509294,41.94582704420846,1.1486150650793343,349.38709677419354,380.5183127048688,31
2023,3,23,1170.191870389532,43.90591676419258,41.9956067499039,1.1765997550956013,349.8709677419355,380.47218372593954,31
2023,4,0,1191.1018197315216,38.49541911128859,42.28794694566943,1.2398052602504759,359.26666666666665,373.42605725336165,30
2023,4,1,1191.0591298629188,38.33786065790754,42.29377003331691,1.2254222801977486,358.93333333333334,373.8155202287578,30
2023,4,2,1188.2137357711117,39.31452501635907,42.45722715728023,1.232215552724895,358.3,375.8043928322003,30
2023,4,3,1188.2766378827175,39.27504835928747,42.45838545681227,1.2330705434693832,358.06666666666666,376.0763565885253,30
2023,4,4,1188.4856741326994,39.379274901085815,42.40810472712569,1.3039641500575565,358.43333333333334,375.21756346436837,30
2023,4,5,1188.574904484763,39.21739355114044,42.38936133469802,1.3046212062476088,358.6333333333333,374.79871951846366,30
2023,4,6,1188.5679165722634,39.23535417503237,42.39227814351963,1.3023228796089057,358.8666666666667,374.5850963699313,30
2023,4,7,1188.4735724285833,39.233811356841514,42.430428318106955,1.2869777242750746,358.3333333333333,375.4929155749158,30
2023,4,8,1188.4166283884051,39.45421680638068,42.42973333838773,1.2888919990969048,358.46666666666664,375.3790211894172,30
2023,4,9,1188.5979942233466,39.307079257597906,42.43474561636277,1.2612271800463888,356.9,377.0393962755153,30
2023,4,10,1188.2997941502892,38.79062185878928,42.4340190466563,1.2596445127144447,355.1666666666667,378.984093372584,30
2023,4,11,1187.2329705574373,40.62754773531079,42.32588652034185,1.4219862147882212,351.6333333333333,382.03139228440375,30
2023,4,12,1190.9932049434105,39.767795760601274,42.12818585021292,1.547426935586378,347.26666666666665,385.2669069743254,30
2023,4,13,1192.3320060170374,39.9818692619161,42.04401959421609,1.515549725644455,342.4,391.0432755918626,30
2023,4,14,1193.5022147039492,40.28930792386492,41.90816158910272,1.6293446134636538,340.3333333333333,392.1952044413674,30
2023,4,15,1193.3353457713426,39.31205036329449,41.956283669661396,1.6870240893428372,336.53333333333336,397.62454625764514,30
2023,4,16,1193.820886150487,39.47027803831598,41.830102730638494,1.9312303079019022,339.1,393.5950133937223,30
2023,4,17,1195.8763668405006,41.293758968917075,41.764416617175684,2.1149787991377216,340.76666666666665,390.6598515562158,30
2023,4,18,1199.479159245067,40.722648797951486,41.67579617297835,2.016681988246986,343.6,386.4488822364677,30
2023,4,19,1198.4861398269954,40.20656920428663,41.863324867216754,1.8204306031494937,345.6666666666667,385.5941999108087,30
2023,4,20,1197.3828861598408,39.32860375227689,41.85857583913536,1.8442197550143464,347.96666666666664,382.41949873486254,30
2023,4,21,1195.867385615141,37.80330928576183,42.0143250062127,1.5499903445259202,351.3333333333333,379.8718547063283,30
2023,4,22,1192.85059911057,39.318520528707566,42.11554985531786,1.5518438439324322,354.6333333333333,376.946548492045,30
2023,4,23,1192.4629595034496,38.9884572408925,42.176023620886454,1.411680523152744,356.43333333333334,375.63827997709797,30
2023,5,0,1174.9899951911802,35.85262340435249,42.47137704156368,1.6205421341727542,352.0769230769231,383.9499081366448,26
2023,5,1,1174.4999595558943,36.03191846932019,42.537861814703824,1.6353211969265664,352.5,384.03374381983303,26
2023,5,2,1173.3736926850925,35.85637270753448,42.62695772870908,1.5202693065784396,352.2692307692308,385.2181897226837,26
2023,5,3,1173.0576172684325,35.8434566382242,42.66773311223582,1.4740750023234286,352.65384615384613,385.1923330150775,26
2023,5,4,1173.3231563903298,35.86175517433272,42.6149170835735,1.4772892810192544,353.0769230769231,384.16492171871056,26
2023,5,5,1173.2071771084593,35.84174701093454,42.61893873194875,1.4754067228749033,353.38461538461536,383.8176143781048,26
2023,5,6,1172.1425531088842,35.39032669878726,42.64788002025647,1.4612544530650384,353.34615384615387,384.1269994288084,26
2023,5,7,1173.2379626407876,34.798354096983246,42.607469136582466,1.4913283727802753,351.46153846153845,385.7073138241592,26
2023,5,8,1176.0869833869315,39.70299467291058,42.55618400730167,1.6864970357995333,350.03846153846155,386.7362533729853,26
2023,5,9,1180.7235872433719,41.13899560158353,42.41325146504641,1.6732012503328666,348.61538461538464,387.0919433501852,26
2023,5,10,1180.9935836564332,41.279681850467625,42.39654522179573,1.6594287613663856,347.2692307692308,388.7294189516983,26
2023,5,11,1180.8819421225714,41.9634645989968,42.22777644397832,1.941804820072093,340.68,395.2909118916143,25
2023,5,12,1184.181977636139,44.37764906679952,42.00418251431026,2.334504731021241,333.32,403.4636726091375,25
2023,5,13,1180.3248431051354,45.863778972507994,41.84130454011297,2.5013164719332335,330.04,407.05644759015706,25
2023,5,14,1183.7695386802752,47.24574273498293,41.550030763787575,2.8330062510386056,326.7307692307692,407.443043992726,26
2023,5,15,1183.647426549337,47.209582816214244,41.648287774091735,2.675074667632004,326.38461538461536,410.13832970457185,26
2023,5,16,1186.8193198890576,44.128823610129466,41.602494442592246,2.5994565002694925,326.0,411.1451229333906,26
2023,5,17,1191.5062246996195,48.227171394063085,41.71531929701101,2.2558819989671814,327.2307692307692,411.2636957817892,26
2023,5,18,1189.9719985260076,47.43125436610305,41.95098060180384,2.171736622192191,331.61538461538464,406.917291812864,26
2023,5,19,1191.4823494486186,52.45155414137946,42.04412246417452,1.9016573882444816,335.7307692307692,401.46096791826955,26
2023,5,20,1181.168332154348,48.53059480820557,42.30708480793774,1.7308452102263132,339.7307692307692,398.533662827526,26
2023,5,21,1180.514881978466,48.12361322703381,42.31556550451153,1.6696494412036855,343.2692307692308,393.89168058295945,26
2023,5,22,1179.1172902188596,47.76334795512859,42.48613928559973,1.5460053728224656,345.7692307692308,392.23243374370463,26
2023,5,23,1178.0537506350017,47.23405486855362,42.54063201358466,1.441293045298861,349.11538461538464,388.5524405399255,26
2023,6,0,1153.2208983355956,28.85172803708253,42.91864104086902,1.0922465244632011,272.1333333333333,508.4706383582235,30
2023,6,1,1152.5742750568263,27.836567309257834,42.956011995771156,1.0537320679990747,273.43333333333334,507.2014969716947,30
2023,6,2,1149.5490025148144,24.220356294570582,43.028068756660225,1.05577536479024,274.03333333333336,506.5759717571843,30
2023,6,3,1151.280334194875,25.485752812842676,42.98749668305133,1.037174342962902,274.5,504.9696126259278,30
2023,6,4,1150.885521061881,25.26066921601968,43.013105632705326,1.0144250034627258,274.96666666666664,504.51826118034415,30
2023,6,5,1150.6237909184836,25.18114738086081,43.055910065412334,0.981306138654656,275.3,504.22841960367384,30
2023,6,6,1150.7057444934294,25.0361827835264,43.03309156463101,0.9948746367105301,275.4,503.86563339505017,30
2023,6,7,1150.912216978723,25.022061376066496,43.029132286230556,0.9954470237170768,274.3,505.60908128686873,30
2023,6,8,1151.6894193436938,24.819981224479175,42.9537059267028,0.9685884828915816,271.8,509.4329770614209,30
2023,6,9,1151.503131343877,23.06108701839993,42.97460796825838,0.9708588286434272,269.6666666666667,513.4314548087582,30
2023,6,10,1151.766870066493,23.82707305029989,42.95581192585198,1.071765629373991,268.6666666666667,515.0638883466574,30
2023,6,11,1152.1877285523865,24.43367645544851,42.9635725327167,1.1002196004177425,264.8333333333333,521.9175781616235,30
2023,6,12,1153.3876357384215,25.925490472854413,42.88766179338463,1.2632092486052338,259.3666666666667,532.4601825745351,30
2023,6,13,1158.8465801672698,35.71697063693987,42.73170202639238,1.63371656875602,254.86666666666667,541.5927712960898,30
2023,6,14,1160.750158282099,36.180083731728025,42.49588277166336,1.7864379652996252,250.83333333333334,547.3554260359692,30
2023,6,15,1165.5636333841417,40.41201430077553,42.10849475816812,2.335595373688467,247.3,551.4286510341534,30
2023,6,16,1169.9511647728398,47.67866738590376,41.78841447748055,2.983980734700936,247.6,545.931346910717,30
2023,6,17,1171.3579876627414,45.66110522594662,41.84918308293003,2.2188274988146643,249.26666666666668,544.5671249907044,30
2023,6,18,1162.5117457575118,29.935262037118907,42.23564445679964,1.5568919505371175,250.3,547.1696306747888,30
2023,6,19,1154.6966539201956,22.862797151039587,42.371639351857695,1.5987539657680305,251.6,546.1860039847795,30
2023,6,20,1157.403564462288,28.717591780166682,42.42806959905988,1.4631248040216824,254.83333333333334,538.7984063585945,30
2023,6,21,1155.6560772866937,29.050900681871305,42.62424341980566,1.3248637967784787,258.4,533.8843386652956,30
2023,6,22,1154.9729463394804,28.02120036048812,42.698332469873684,1.2780493166872808,261.53333333333336,527.3277291851762,30
2023,6,23,1154.5280339134856,27.05485044323862,42.80860258532456,1.147342852118703,268.4,514.5712148768181,30
2023,7,0,1214.5789007853832,75.71945905819938,40.49131193828416,1.8906730772299098,244.67741935483872,533.5006323559974,31
2023,7,1,1202.5450711607177,57.52062849713241,40.642220364413944,1.7704216151192127,245.2258064516129,534.051901830892,31
2023,7,2,1197.1711609425533,52.40127066968205,40.74196320153719,1.6742895624066878,244.8709677419355,536.4176089016235,31
