buurt_idx,n_houses,total_addresses,mean_distance,pct_within_100m,pct_within_250m,pct_within_500m,date,hour
0,0,0,,,,,2025-05-15,0
1,1,1,2568.1078748651607,0.0,0.0,0.0,2025-05-15,0
2,0,0,,,,,2025-05-15,0
3,2265,4088,199.40441984525722,25.440313111545986,70.91487279843444,96.15949119373776,2025-05-15,0
4,316,662,272.3048480903997,0.0,55.135951661631424,96.82779456193353,2025-05-15,0
5,478,676,672.5495529140176,0.0,18.34319526627219,25.443786982248522,2025-05-15,0
6,551,774,327.73369267284085,4.3927648578811365,28.552971576227392,88.88888888888889,2025-05-15,0
7,604,1293,405.9896031744198,3.3255993812838365,25.135344160866204,64.96519721577727,2025-05-15,0
8,820,1803,245.3210485762701,12.146422628951747,49.19578480310594,98.89073765945646,2025-05-15,0
9,1293,1758,588.847714394405,1.422070534698521,7.906712172923777,26.7349260523322,2025-05-15,0
10,698,1136,463.42226140978664,0.0,6.25,48.32746478873239,2025-05-15,0
11,856,1084,288.4122602431256,13.376383763837637,39.11439114391143,93.35793357933579,2025-05-15,0
12,2030,3678,219.17156327637733,12.343665035345296,67.56389342033714,99.21152800435019,2025-05-15,0
13,302,455,585.726560776661,0.0,0.0,14.725274725274726,2025-05-15,0
14,1033,1764,249.4077116874676,7.029478458049887,47.84580498866213,100.0,2025-05-15,0
15,1810,2948,161.64477672238223,18.28358208955224,87.78833107191316,100.0,2025-05-15,0
16,1846,3146,171.3359074377924,21.646535282898917,82.453909726637,100.0,2025-05-15,0
17,1167,2213,337.55206860331543,6.642566651604158,31.857207410754633,83.00948938093087,2025-05-15,0
18,593,940,376.9776025714458,0.0,15.319148936170212,90.85106382978724,2025-05-15,0
19,1646,2719,613.4928853089299,0.0,5.627068775285031,36.99889665318132,2025-05-15,0
20,3441,5180,181.4841854866196,16.872586872586872,80.96525096525097,99.05405405405405,2025-05-15,0
21,1224,2289,185.55005765401555,13.936216688510267,77.67584097859327,100.0,2025-05-15,0
22,254,407,249.81498294610702,0.4914004914004914,49.631449631449634,99.75429975429975,2025-05-15,0
23,785,1634,214.6583505273639,11.138310893512852,61.444308445532435,100.0,2025-05-15,0
24,1765,3033,189.28064415539572,22.288163534454338,72.10682492581603,100.0,2025-05-15,0
25,653,1107,668.7492083738856,0.0,0.0,12.737127371273713,2025-05-15,0
26,1323,3207,257.5333966484748,5.45681322107889,41.90832553788588,100.0,2025-05-15,0
27,1521,3433,296.1415074970725,7.631808913486745,36.41130206816195,95.2810952519662,2025-05-15,0
28,1773,2076,662.7260012600012,1.1560693641618496,9.007707129094413,43.73795761078998,2025-05-15,0
29,100,210,1280.1874483945928,0.0,0.0,0.0,2025-05-15,0
30,1031,2968,825.4951805132471,0.0,0.0,24.056603773584907,2025-05-15,0
31,550,550,658.4656607963377,0.0,0.0,43.81818181818182,2025-05-15,0
32,655,1002,430.96591743917514,12.17564870259481,57.28542914171657,69.76047904191617,2025-05-15,0
33,2374,3319,783.3174374350575,4.097619764989455,16.239831274480267,47.454052425429346,2025-05-15,0
34,157,201,624.4813692422725,0.0,0.0,0.9950248756218906,2025-05-15,0
35,3724,5534,346.3325014581156,6.071557643657391,31.8756776292013,80.75533068305023,2025-05-15,0
36,1596,2997,284.8605435794989,7.340674007340674,44.37771104437771,96.96363029696363,2025-05-15,0
