buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
39,540.4291550569866,114.37187579695716,8.641742876103418,12.962614314155125,34.96776037055879,1995,1877,25.0,0.6,6593.0,,BU05181882,33.6,38.4,302.0,4.1,38.6,18.3,Rosenburg
40,480.3222860628384,252.44831110341568,0.0,21.365523430239303,60.502736475032684,1166,1877,19.0,0.7,12360.0,,BU05181893,39.8,45.7,384.0,1.4,27.9,27.7,Componistenbuurt
41,537.4731054497564,331.1840093574674,4.628701861745026,29.87827051756414,50.45285029302078,2180,1877,21.0,0.7,9393.0,,BU05181894,35.1,38.3,278.0,2.4,35.4,17.0,Waldeck-Noord
42,358.77457301414364,122.71309022916559,3.9498488724248997,25.233063911507095,88.65270340826541,3202,1877,17.0,0.8,13543.0,,BU05181953,39.2,49.2,441.0,1.9,28.8,34.9,Vruchtenbuurt
43,398.8484270771445,167.3409979945551,1.4957966702589789,19.250252799854685,83.16340804207628,1314,1877,19.0,0.7,5285.0,,BU05181983,36.4,43.9,370.0,2.2,30.2,29.1,Eykenduinen
44,327.96853567591126,115.08363599087681,5.611094431973317,36.60152066928996,84.04288632276688,3794,1877,30.0,0.5,16798.0,,BU05182054,30.2,36.9,283.0,4.6,38.5,18.3,Heesterbuurt
45,218.61191709086665,74.87026388603289,15.222782006247277,67.70660341279122,96.50621080252986,6025,1877,34.0,0.5,17873.0,,BU05182055,33.7,40.4,316.0,5.6,36.1,22.2,Valkenboskwartier
46,279.20537961005346,91.08902260971666,9.464431485056254,50.38635767412879,89.71392607552994,3491,1877,43.0,0.5,13549.0,,BU05182110,31.8,38.4,293.0,6.7,39.2,19.6,Rond de Energiecentrale
47,187.29353919560316,65.66063965802026,20.34364728031143,77.92975689616111,98.40776049242392,4047,1877,29.0,0.5,18414.0,,BU05182144,37.9,45.6,396.0,6.2,34.7,28.1,Koningsplein e.o.
48,223.58132102082035,76.45611348879298,14.96109922228208,65.93862635907173,95.57982100284836,7160,1877,36.0,0.4,15745.0,,BU05182245,39.2,46.8,393.0,6.7,38.5,27.2,Zeeheldenkwartier
49,181.7470430503787,79.76362694226569,24.763476105689453,76.05618314909476,98.56629199564273,1187,1877,31.0,0.6,5256.0,,BU05182347,61.0,73.0,530.0,5.1,27.4,39.5,Willemspark
50,292.5070112923954,61.42662966460784,34.14186772204886,66.80176066164346,80.9591039399244,420,1877,28.0,0.7,397.0,,BU05182449,51.5,56.4,271.0,6.3,28.7,33.9,Haagse Bos
51,768.2158226137182,172.60528956348068,0.0,1.0325136755535878,21.418655781251168,2982,1877,47.0,0.7,8705.0,,BU05182561,29.3,36.3,251.0,6.4,44.7,16.6,Landen
52,378.2078114345864,133.68763561920454,4.668228103859029,21.766970577296167,79.11081848125103,1590,1877,46.0,0.6,4765.0,,BU05182567,31.3,39.1,254.0,6.0,41.4,20.0,Kampen
53,1268.3793857851604,172.29158388491106,0.0,0.0,0.3162674226183494,377,1877,23.0,1.2,878.0,,BU05182568,58.8,78.0,863.0,2.0,29.7,50.1,Marlot
54,466.4209124875245,177.64583229128945,2.334499557859932,20.07527365998605,62.77523905771987,3880,1877,42.0,0.6,7114.0,,BU05182569,32.7,39.6,255.0,4.6,38.4,20.2,Burgen en Horsten
