area_level,area_label,pct_has_outside_area_option,pct_only_outside_area_options,pct_nearest_station_outside_area
pc4,PC4,78.94608204328244,10.18442306240767,26.83281875069639
pc6,PC6,98.70641473084153,94.24374323824037,94.9065304670062
buurten,CBS buurten,84.39322979379553,11.59518221257355,28.147610335742705
wijken,CBS wijken,65.83231195568958,4.074847512211603,15.184800462944658
