area_level,n_areas,pct_addresses_house_vs_nearest_station_area_mismatch,pct_addresses_mismatch_within_500m_nearest_station,pct_covered_addresses_with_any_cross_boundary_station_500m,pct_covered_addresses_with_no_same_area_station_500m,pct_covered_addresses_with_nearest_station_outside_area_500m
pc4,83,32.528938591328235,26.864586706970385,78.94608204328244,10.18442306240767,26.83281875069639
pc6,15271,96.45600716853096,96.17167894696587,98.70641473084153,94.24374323824037,94.9065304670062
buurten,181,32.51275132449242,28.215558333843756,84.39322979379553,11.59518221257355,28.147610335742705
wijken,68,20.460771474304224,15.191789737891554,65.83231195568958,4.074847512211603,15.184800462944658
