year,period_type,period_label,run_tag,n_days,mean_n_bikes,mean_pct_500m,mean_distance,mean_covered_addresses_per_bike_500m,gini_mean_distance,theil_mean_distance
2022,full_year,2022,20220101_20221231,310,207.41755426722395,36.972825147271486,1412.2194812972045,596.4979333901167,0.4955862101133875,0.4038798547425933
2023,full_year,2023,20230101_20231231,330,292.5857523133477,47.49988836389223,934.8599297315183,537.0271893030502,0.4609934921541856,0.3441219399977666
2024,full_year,2024,20240101_20241231,366,233.50711764035987,58.53792474705694,607.0244912288525,843.7654946680078,0.3801333913762769,0.2510084887562646
2025,full_year,2025,20250101_20251231,355,485.57527453064114,65.26926077181375,548.1228578117269,547.7231211401622,0.414228134898126,0.3034729304239601
