artifact_type,provider,city,date,path,size_bytes,modified_at_utc
docked_data,ns_ov_fiets,,2026-03-06,data/docked/ns_ov_fiets/docks_20260306.csv,861647,2026-03-18T14:37:37Z
docked_data,ns_ov_fiets,,2026-03-07,data/docked/ns_ov_fiets/docked_20260307.csv,1079443,2026-03-18T14:37:47Z
docked_data,ns_ov_fiets,,2026-03-07,data/docked/ns_ov_fiets/docks_20260307.csv,861050,2026-03-18T14:37:47Z
docked_data,ns_ov_fiets,,2026-03-08,data/docked/ns_ov_fiets/docked_20260308.csv,1086444,2026-03-18T14:37:58Z
docked_data,ns_ov_fiets,,2026-03-08,data/docked/ns_ov_fiets/docks_20260308.csv,861050,2026-03-18T14:37:58Z
docked_data,ns_ov_fiets,,2026-03-09,data/docked/ns_ov_fiets/docked_20260309.csv,1072049,2026-03-18T14:38:08Z
docked_data,ns_ov_fiets,,2026-03-09,data/docked/ns_ov_fiets/docks_20260309.csv,861050,2026-03-18T14:38:08Z
docked_data,ns_ov_fiets,,2026-03-10,data/docked/ns_ov_fiets/docked_20260310.csv,1756226,2026-03-18T14:38:17Z
docked_data,ns_ov_fiets,,2026-03-10,data/docked/ns_ov_fiets/docks_20260310.csv,1568474,2026-03-18T14:38:17Z
dockless_data,donkey_denHaag,,2025-01-01,data/dockless/donkey_denHaag/dockless_20250101.csv,21888970,2026-03-05T15:23:03Z
dockless_data,donkey_denHaag,,2025-01-02,data/dockless/donkey_denHaag/dockless_20250102.csv,23742975,2026-03-05T15:23:03Z
dockless_data,donkey_denHaag,,2025-01-03,data/dockless/donkey_denHaag/dockless_20250103.csv,8492345,2026-03-05T15:23:03Z
dockless_data,donkey_denHaag,,2025-01-28,data/dockless/donkey_denHaag/dockless_20250128.csv,29550165,2026-03-05T15:23:04Z
dockless_data,donkey_denHaag,,2025-01-29,data/dockless/donkey_denHaag/dockless_20250129.csv,29828107,2026-03-05T15:23:04Z
dockless_data,donkey_denHaag,,2025-01-30,data/dockless/donkey_denHaag/dockless_20250130.csv,29395305,2026-03-05T15:23:04Z
dockless_data,donkey_denHaag,,2025-01-31,data/dockless/donkey_denHaag/dockless_20250131.csv,28977371,2026-03-05T15:23:04Z
dockless_data,donkey_denHaag,,2026-02-01,data/dockless/donkey_denHaag/dockless_20260201.csv,2050667,2026-03-18T13:56:11Z
dockless_data,donkey_denHaag,,2026-03-01,data/dockless/donkey_denHaag/dockless_20260301.csv,48027461,2026-03-05T15:36:13Z
dockless_data,donkey_denHaag,,2026-03-02,data/dockless/donkey_denHaag/dockless_20260302.csv,46708762,2026-03-05T15:37:04Z
dockless_data,donkey_denHaag,,2026-03-03,data/dockless/donkey_denHaag/dockless_20260303.csv,46688271,2026-03-05T15:37:56Z
dockless_data,donkey_denHaag,,2026-03-04,data/dockless/donkey_denHaag/dockless_20260304.csv,46837921,2026-03-05T15:38:48Z
dockless_data,donkey_denHaag,,2026-03-05,data/dockless/donkey_denHaag/dockless_20260305.csv,21958914,2026-03-05T15:23:04Z
dockless_data,donkey_denHaag,,2026-03-06,data/dockless/donkey_denHaag/dockless_20260306.csv,67663219,2026-03-18T14:10:50Z
dockless_data,donkey_denHaag,,2026-03-07,data/dockless/donkey_denHaag/dockless_20260307.csv,67161526,2026-03-18T14:11:44Z
dockless_data,donkey_denHaag,,2026-03-08,data/dockless/donkey_denHaag/dockless_20260308.csv,65278854,2026-03-18T14:12:38Z
dockless_data,donkey_denHaag,,2026-03-09,data/dockless/donkey_denHaag/dockless_20260309.csv,63320667,2026-03-18T14:13:29Z
dockless_data,donkey_denHaag,,2026-03-10,data/dockless/donkey_denHaag/dockless_20260310.csv,65728538,2026-03-18T14:14:23Z
geodata,,amsterdam,,geodata/pc4_amsterdam.geojson,1608541,2026-03-05T15:23:04Z
geodata,,den_haag,,geodata/houses_den_haag.json,3423766,2026-03-18T13:56:11Z
geodata,,den_haag,,geodata/pc4_den_haag.geojson,1995019,2026-03-05T15:23:04Z
map,,amsterdam,,maps/amsterdam_pc4.html,1081992,2026-03-16T11:48:13Z
map,,den_haag,,maps/den_haag_pc4.html,131699,2026-03-18T13:56:11Z
map,,den_haag,,maps/den_haag_stations.html,680217,2026-03-18T13:56:11Z
other,,,,index/data_quality_events.csv,1020,2026-03-18T14:38:06Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010001.tar.gz,79947,2026-02-28T23:01:38Z
other,,,2026-03-01,raw_staging/2026/03/01/00/donkey_denHaag_fietsData_202603010003.tar.gz,80044,2026-02-28T23:03:38Z
