hour,mean_distance,std_distance,mean_pct_500m,std_pct_500m,mean_n_bikes,mean_covered_addresses_per_bike_500m,n_days
0,543.4761896419429,111.28326548404452,65.83572507016368,7.3074069997955045,495.35593220338984,537.7172811271681,354
1,543.0507417307209,109.51220989323974,65.81121905957627,7.21813407128233,494.4759206798867,538.4648227876722,353
2,540.4557286884931,109.18427731685019,66.07694454627418,7.167064435668524,496.8895184135977,538.0193409938628,353
3,540.1562255389506,108.04490709325482,66.17036882171645,7.051196615844899,496.21875,539.3293066297628,352
4,537.8898483747816,107.14639549157775,66.3564449606403,6.991485341780949,499.090395480226,537.5340716016076,354
5,537.4988213066624,107.10408859977542,66.38905492966927,6.9991148237791165,499.85593220338984,536.9739734098042,354
6,537.2877323446752,105.82645363605366,66.37811265781876,6.900770509815565,500.1073446327684,536.2682782413406,354
7,537.4775408678568,106.06388029187066,66.34699741276219,6.948808238391391,498.6073446327684,536.9282211941996,354
8,539.4512057699267,106.64486639913963,66.14848647345465,7.008440492661585,494.3011363636364,539.9385017107207,352
9,540.9461480054932,108.18075496029158,65.95844987771542,7.247521848337864,492.62322946175635,541.1464460981058,353
10,543.6587704869382,109.29334470263996,65.62782531270419,7.430779867640354,491.37677053824365,539.3086465996249,353
11,547.7803556635691,110.95342757949246,65.14747247076203,7.731212108995698,484.14772727272725,546.6090861511028,352
12,551.9793374905009,113.6393758992063,64.70697791946047,8.165613513797034,476.82102272727275,555.3928722020028,352
13,555.4999132014678,116.86605591349706,64.37104049041692,8.532036045705713,471.6742209631728,563.3545757655702,353
14,559.9595110295827,120.46636123347014,63.9428242051672,8.879036969918305,467.79829545454544,567.2618675505864,352
15,561.9346406997282,124.12824142943624,63.76911162906361,9.198556907819201,467.8838526912181,567.4162483578864,353
16,563.0050322590683,126.0434061091497,63.72407039258604,9.420366221609507,466.8611898016997,567.2139753858847,353
17,563.2430030390416,126.41954333909841,63.76632222424151,9.196019060645153,467.4815864022663,565.2473033759885,353
18,558.9562798642414,123.11651116447707,64.21251155361276,8.689021641972696,470.3229461756374,563.7621830178281,353
19,555.5719395081732,119.22855623847605,64.53991358196556,8.334539875865131,474.7365439093484,555.5088790554718,353
20,552.4608922030117,117.10839406136779,64.87955068979467,8.076064607944442,479.1161473087819,550.9105997561325,353
21,550.0221006326892,116.25727619890168,65.19360641632846,7.90326370955607,484.5823863636364,545.0143329237724,352
22,548.1233921438857,115.09225232724572,65.40404509068624,7.720292227647984,489.36079545454544,539.6804659080253,352
23,545.1897615902927,113.0013379087884,65.69184423350629,7.473657715037784,493.94034090909093,536.4700731777295,352
