percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,915.5052835445682,616.944619712547,802.5636158975514,41.56882300871548,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,956.3622755075991,590.1448961710668,859.6460531457652,43.4890628109901,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,874.2915623060462,517.7247492171903,760.3002744234017,44.80808109110069,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,471.454186034659,409.68172729409906,354.0028104706152,67.72372623808155,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,717.6076151987753,530.3336979286455,573.7161432896919,47.538723260241866,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,1663.859150939602,1633.4529020545895,930.6454942265922,11.742693449539908,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,534.6641725737833,444.8668636728558,313.6868695186765,57.3422065903717,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,707.2095427073194,356.26334440220967,857.1669604586319,66.06018388451103,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,526.5014618057332,359.8520167318163,467.69713837562074,65.9262487779439,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,490.5733017993744,437.9480796099435,185.91878434709332,58.67197343002071,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,582.9691200161993,327.96853567591126,683.1108196016868,69.49552745709383,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,685.139546311892,425.95248876098674,706.1964574176897,59.44334281478478,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
