percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,1533.981805300749,1547.1457323138807,975.236101499437,23.846690847591315,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,1234.9345608263313,1182.6267529607667,966.6261819638521,38.19457627529556,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,1114.379694480454,820.9982237557081,857.8173986283939,37.58776521391453,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,643.8454412154132,460.4643968388696,578.2653932370511,58.75222623976675,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,1155.3662064524224,1182.6267529607667,746.7690072507249,30.555016594319895,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,2206.645627237663,2240.154750036596,831.6039166076098,7.148796661254721,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,861.3286997382344,611.6186737342666,590.845090409266,40.76819184809093,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,962.6901281531767,437.791027749273,969.4589671471036,56.35123322122433,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,794.0710227442271,379.36318658250684,774.3958324028212,58.187452067303035,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,811.7069092296967,596.2848331237293,525.6661748411327,41.70190988364786,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,844.562997728999,376.82133490866283,849.8538896488432,59.303148632583856,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,992.7197558521011,502.11882430168055,915.970011213308,50.602446941494414,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
