hour,mean_distance,std_distance,mean_pct_500m,std_pct_500m,mean_n_bikes,n_days
0,865.1657207390965,399.9444662672432,53.523456889865464,13.330813142058036,338.41857423152385,1529
1,864.7588328954988,399.7890290977568,53.550087520803906,13.312551157651141,337.9738219895288,1528
2,862.6698176248434,400.1084583630332,53.71729847636102,13.367088733574795,338.86679790026244,1524
3,862.9895957177464,400.50142309474654,53.77104469300089,13.391913635694191,338.76096922069416,1527
4,861.6572082557514,400.91299653556234,53.86684356343287,13.432023406997093,339.9280575539568,1529
5,861.4746770110522,400.9316167241104,53.87657385799758,13.437873521588394,340.21059516023547,1529
6,861.4715069861552,400.9280085483357,53.8614854553294,13.422014576302,340.42184434270763,1529
7,861.5724136938173,400.7821523105209,53.84356283784809,13.420254237074603,339.84565075212555,1529
8,862.9327054145249,400.3952527739193,53.72309700903187,13.38097209119446,337.73804846103474,1527
9,863.9942521361592,399.7668992920742,53.57280604145866,13.350180156580615,336.31827111984285,1527
10,865.8916761064186,399.53487088724,53.40292407672391,13.297926741933804,335.5785340314136,1528
11,869.4367139784213,401.440416388909,53.09979266610999,13.279672282907592,331.5593442622951,1525
12,871.5429394936125,398.04390647167315,52.81681602340869,13.206006075669542,327.4259501965924,1526
13,873.5596618632362,397.2592876020934,52.58648734031469,13.229794162225204,324.1317169069463,1526
14,877.4536709458253,397.4917866340811,52.2785590749405,13.266923327245223,321.71625163826997,1526
15,879.4657013907961,397.67409670554076,52.09989906605755,13.343722399031082,320.77260812581915,1526
16,881.026675973108,398.53564977468585,52.02911058312268,13.414089929105252,320.4554390563565,1526
17,880.8789515401847,399.25279347350715,52.09884475147733,13.389993451388198,321.09692206941713,1527
18,877.9198927230769,398.5125051181507,52.30526080325224,13.341259994706299,322.86509495743286,1527
19,875.6594661051548,398.9772196652867,52.51446264918656,13.33231474691748,325.39947609692206,1527
20,872.9595472256946,398.9703539903968,52.74545020812692,13.318824569916995,328.11656843483956,1527
21,871.5058339067322,398.9423184085122,52.930844284680724,13.303506593078984,330.9036697247706,1526
22,869.0951013037596,399.1378597731894,53.12992351480317,13.29435422642957,333.58125819134995,1526
23,866.9825810615515,399.81122869536784,53.369539364328645,13.300565685923734,336.35452162516384,1526
