quarter,mean_n_bikes,mean_pct_500m,mean_distance,gini_mean_distance,year,quarter_label,x_position
4,295.67346014492756,38.02891367436236,1476.531970655141,0.5178233200394563,2021,Q4,2021.33
1,271.19870310328855,36.9969091150829,1518.1198118440998,0.5092912400572198,2022,Q1,2021.67
2,194.94419970631424,34.953338851978856,1536.1843253737084,0.49626794594040524,2022,Q2,2021.89
3,168.93701857725418,37.80955560957932,1290.794954918936,0.48959002774195337,2022,Q3,2022.11
4,180.34027777777777,39.18229844535143,1200.0021594894604,0.49358176687864097,2022,Q4,2022.33
1,353.27420494699646,42.07310284713076,1168.0176837000995,0.5171005721687931,2023,Q1,2022.67
2,318.09170305676855,42.385907833298475,1175.5677061507322,0.5150975795847249,2023,Q2,2022.89
3,237.22690217391303,46.772231390567434,890.4122764627573,0.43407870702931906,2023,Q3,2023.11
4,285.2344671201814,56.49103665272323,604.7571947437095,0.39102902164819886,2023,Q4,2023.33
1,281.89087574507107,58.04916988321102,622.174584807827,0.4089262364330528,2024,Q1,2023.67
2,242.85576923076923,61.135416983434396,542.6788464290574,0.3506542976183643,2024,Q2,2023.89
3,166.38496376811594,55.1188471117412,625.5760485420615,0.3456299293899934,2024,Q3,2024.11
4,243.5901268115942,59.870521999129764,637.1543352503395,0.43560278226605353,2024,Q4,2024.33
1,236.01261682242992,57.92192074089916,666.2584963249349,0.4350966962153213,2025,Q1,2024.67
2,278.05494505494505,59.249396677529454,630.9300180004744,0.41225816733796783,2025,Q2,2024.89
3,696.1748188405797,70.6971009410886,453.347767644604,0.40084201519777574,2025,Q3,2025.11
4,755.2111512648426,73.98687551332914,432.2747911202025,0.4308923548534471,2025,Q4,2025.33
1,799.4418481147105,77.92674001122423,410.70115964763005,0.4389511163974986,2026,Q1,2025.67
